state,X,Y
Andhra Pradesh,-106.0,-193.0
Arunachal Pradesh,283.0,168.0
Assam,234.0,113.0
Bihar,64.0,96.0
Chhattisgarh,-34.0,-28.0
Goa,-220.0,-180.0
Gujarat,-294.0,23.0
Haryana,-168.0,191.0
Himachal Pradesh,-147.0,276.0
Jharkhand,47.0,37.0
Karnataka,-193.0,-204.0
Kerala,-161.0,-310.0
Madhya Pradesh,-122.0,25.0
Maharashtra,-201.0,-75.0
Manipur,271.0,66.0
Meghalaya,206.0,91.0
Mizoram,247.0,28.0
Nagaland,292.0,107.0
Odisha,33.0,-39.0
Punjab,-190.0,244.0
Rajasthan,-247.0,122.0
Sikkim,140.0,145.0
Tamil Nadu,-121.0,-294.0
Telangana,-103.0,-108.0
Tripura,218.0,41.0
Uttar Pradesh,-90.0,137.0
Uttarakhand,-91.0,224.0
West Bengal,121.0,24.0
